Pokemon;HitPoints;Attack;Defense;Speed
Quilava;58;64;58;80
Goodra;90;100;70;80
Mothim;70;94;50;66
Marowak;60;80;110;45
Chandelure;60;55;90;80
Helioptile;44;38;33;70
MeloettaAria Forme;100;77;77;90
MetagrossMega Metagross;80;145;150;110
Sawsbuck;80;100;70;95
Probopass;60;55;145;40
GiratinaAltered Forme;150;100;120;90
Tranquill;62;77;62;65
Simisage;75;98;63;101
Scizor;70;130;100;65
Jigglypuff;115;45;20;20
Carracosta;74;108;133;32
Ferrothorn;74;94;131;20
Kadabra;40;35;30;105
Sylveon;95;65;65;60
Golem;80;120;130;45
Magnemite;25;35;70;45
Vanillish;51;65;65;59
Unown;48;72;48;48
Snivy;45;45;55;63
Tynamo;35;55;40;60
Duskull;20;40;90;25
Beautifly;60;70;50;65
Marill;70;20;50;40
Lunatone;70;55;65;70
Flygon;80;100;80;100
Bronzor;57;24;86;23
Monferno;64;78;52;81
Simisear;75;98;63;101
Aromatisse;101;72;72;29
Scraggy;50;75;70;48
Scolipede;60;100;89;112
Staraptor;85;120;70;100
GyaradosMega Gyarados;95;155;109;81
Tyrunt;58;89;77;48
Zekrom;100;150;120;90
Gyarados;95;125;79;81
Cobalion;91;90;129;108
Espurr;62;48;54;68
Spheal;70;40;50;25
Dodrio;60;110;70;100
Torkoal;70;85;140;20
Cacnea;50;85;40;35
Trubbish;50;50;62;65
Lucario;70;110;70;90
GiratinaOrigin Forme;150;120;100;90
